season,week,actual_eliminated,simulated_eliminated,is_correct
1,1,"['Trista Sutter', 'Trista Sutter', 'Evander Holyfield', 'Evander Holyfield', 'Evander Holyfield', 'Rachel Hunter', 'Rachel Hunter', 'Rachel Hunter', 'Rachel Hunter']",Kelly Monaco,False
1,2,"['Trista Sutter', 'Trista Sutter', 'Rachel Hunter', 'Rachel Hunter', 'Rachel Hunter', 'Rachel Hunter', 'Evander Holyfield', 'Evander Holyfield', 'Evander Holyfield']",Trista Sutter,True
1,3,"['Rachel Hunter', 'Rachel Hunter', 'Rachel Hunter', 'Rachel Hunter', 'Evander Holyfield', 'Evander Holyfield', 'Evander Holyfield']",Joey McIntyre,False
1,4,"['Rachel Hunter', 'Rachel Hunter', 'Rachel Hunter', 'Rachel Hunter']",Rachel Hunter,True
2,1,"['Kenny Mayne', 'George Hamilton', 'George Hamilton', 'George Hamilton', 'George Hamilton', 'George Hamilton', 'George Hamilton', 'Lisa Rinna', 'Lisa Rinna', 'Lisa Rinna', 'Lisa Rinna', 'Lisa Rinna', 'Lisa Rinna', 'Lisa Rinna', 'Tia Carrere', 'Tia Carrere', 'Tia Carrere', 'Tia Carrere', 'Tia Carrere', ""Tatum O'Neal"", ""Tatum O'Neal"", 'Giselle Fernandez', 'Giselle Fernandez', 'Giselle Fernandez', 'Master P', 'Master P', 'Master P', 'Master P']",Kenny Mayne,True
2,2,"[""Tatum O'Neal"", ""Tatum O'Neal"", 'Lisa Rinna', 'Lisa Rinna', 'Lisa Rinna', 'Lisa Rinna', 'Lisa Rinna', 'Lisa Rinna', 'Lisa Rinna', 'George Hamilton', 'George Hamilton', 'George Hamilton', 'George Hamilton', 'George Hamilton', 'George Hamilton', 'Tia Carrere', 'Tia Carrere', 'Tia Carrere', 'Tia Carrere', 'Tia Carrere', 'Giselle Fernandez', 'Giselle Fernandez', 'Giselle Fernandez', 'Master P', 'Master P', 'Master P', 'Master P']",Tatum O'Neal,True
2,3,"['Giselle Fernandez', 'Giselle Fernandez', 'Giselle Fernandez', 'George Hamilton', 'George Hamilton', 'George Hamilton', 'George Hamilton', 'George Hamilton', 'George Hamilton', 'Lisa Rinna', 'Lisa Rinna', 'Lisa Rinna', 'Lisa Rinna', 'Lisa Rinna', 'Lisa Rinna', 'Lisa Rinna', 'Tia Carrere', 'Tia Carrere', 'Tia Carrere', 'Tia Carrere', 'Tia Carrere', 'Master P', 'Master P', 'Master P', 'Master P']",Giselle Fernandez,True
2,4,"['George Hamilton', 'George Hamilton', 'George Hamilton', 'George Hamilton', 'George Hamilton', 'George Hamilton', 'Tia Carrere', 'Tia Carrere', 'Tia Carrere', 'Tia Carrere', 'Tia Carrere', 'Lisa Rinna', 'Lisa Rinna', 'Lisa Rinna', 'Lisa Rinna', 'Lisa Rinna', 'Lisa Rinna', 'Lisa Rinna', 'Master P', 'Master P', 'Master P', 'Master P']",George Hamilton,True
2,5,"['Tia Carrere', 'Tia Carrere', 'Tia Carrere', 'Tia Carrere', 'Tia Carrere', 'George Hamilton', 'George Hamilton', 'George Hamilton', 'George Hamilton', 'George Hamilton', 'George Hamilton', 'Lisa Rinna', 'Lisa Rinna', 'Lisa Rinna', 'Lisa Rinna', 'Lisa Rinna', 'Lisa Rinna', 'Lisa Rinna']",Tia Carrere,True
2,6,"['George Hamilton', 'George Hamilton', 'George Hamilton', 'George Hamilton', 'George Hamilton', 'George Hamilton', 'Lisa Rinna', 'Lisa Rinna', 'Lisa Rinna', 'Lisa Rinna', 'Lisa Rinna', 'Lisa Rinna', 'Lisa Rinna']",George Hamilton,True
