iter	Passed	Remaining
0	144	14307
1	147	7213
2	149	4847
3	152	3665
4	155	2957
5	158	2486
6	161	2141
7	163	1880
8	166	1679
9	168	1516
10	171	1383
11	173	1274
12	176	1184
13	179	1105
14	182	1036
15	185	974
16	188	919
17	190	869
18	193	824
19	195	783
20	198	747
21	201	714
22	203	682
23	206	654
24	208	626
25	211	601
26	214	581
27	217	560
28	220	539
29	223	520
30	225	502
31	227	484
32	230	467
33	233	452
34	236	438
35	238	424
36	241	410
37	243	397
38	246	385
39	248	372
40	250	360
41	253	349
42	255	338
43	257	328
44	260	317
45	262	308
46	264	298
47	267	289
48	269	280
49	271	271
50	274	263
51	276	255
52	278	247
53	281	239
54	283	231
55	285	224
56	288	217
57	290	210
58	293	203
59	295	197
60	297	190
61	300	184
62	302	177
63	305	171
64	307	165
65	309	159
66	312	153
67	314	148
68	317	142
69	319	136
70	321	131
71	324	126
72	327	121
73	329	115
74	331	110
75	334	105
76	337	100
77	339	95
78	342	91
79	345	86
80	347	81
81	350	76
82	353	72
83	355	67
84	358	63
85	360	58
86	362	54
87	365	49
88	367	45
89	370	41
90	372	36
91	375	32
92	377	28
93	380	24
94	382	20
95	385	16
96	388	12
97	390	7
98	393	3
99	395	0
