时间 t (Time t),时刻 (Moment),主路3的车流量 (Traffic flow on the Main road 3)
0, 07:00,7.0
1, 07:02,8.5
2, 07:04,10.0
3, 07:06,11.5
4, 07:08,13.0
5, 07:10,14.5
6, 07:12,16.0
7, 07:14,17.5
8, 07:16,19.0
9, 07:18,20.5
10, 07:20,22.0
11, 07:22,23.5
12, 07:24,25.0
13, 07:26,26.5
14, 07:28,28.0
15, 07:30,29.5
16, 07:32,31.0
17, 07:34,32.5
18, 07:36,34.0
19, 07:38,35.5
20, 07:40,37.0
21, 07:42,38.5
22, 07:44,40.0
23, 07:46,41.5
24, 07:48,43.0
25, 07:50,44.5
26, 07:52,46.0
27, 07:54,47.5
28, 07:56,49.0
29, 07:58,50.5
30, 08:00,52.0
31, 08:02,51.5
32, 08:04,51.0
33, 08:06,50.5
34, 08:08,50.0
35, 08:10,49.5
36, 08:12,49.0
37, 08:14,48.5
38, 08:16,48.0
39, 08:18,47.5
40, 08:20,47.0
41, 08:22,46.5
42, 08:24,46.0
43, 08:26,45.5
44, 08:28,45.0
45, 08:30,44.5
46, 08:32,44.0
47, 08:34,43.5
48, 08:36,43.0
49, 08:38,42.5
50, 08:40,42.0
51, 08:42,41.5
52, 08:44,41.0
53, 08:46,40.5
54, 08:48,40.0
55, 08:50,39.5
56, 08:52,39.0
57, 08:54,38.5
58, 08:56,38.0
59, 08:58,37.5
