,时刻 (Moment),时间 t (Time t),主路4的车流量 (Traffic flow on the Main road 4)
0, 07:00,0,0.8
1, 07:02,1,2.0
2, 07:04,2,3.2
3, 07:06,3,4.4
4, 07:08,4,34.6
5, 07:10,5,37.3
6, 07:12,6,40.0
7, 07:14,7,42.7
8, 07:16,8,45.4
9, 07:18,9,20.625
10, 07:20,10,30.31
11, 07:22,11,39.395
12, 07:24,12,47.82
13, 07:26,13,81.075
14, 07:28,14,87.35
15, 07:30,15,92.785
16, 07:32,16,97.32
17, 07:34,17,100.895
18, 07:36,18,81.15
19, 07:38,19,83.275
20, 07:40,20,84.26
21, 07:42,21,84.045
22, 07:44,22,109.97
23, 07:46,23,106.375
24, 07:48,24,101.4
25, 07:50,25,101.8
26, 07:52,26,102.2
27, 07:54,27,79.2
28, 07:56,28,80.4
29, 07:58,29,81.6
30, 08:00,30,82.8
31, 08:02,31,108.8
32, 08:04,32,110.8
33, 08:06,33,112.8
34, 08:08,34,110.2
35, 08:10,35,107.6
36, 08:12,36,76.2
37, 08:14,37,71.6
38, 08:16,38,67.0
39, 08:18,39,62.4
40, 08:20,40,76.8
41, 08:22,41,72.2
42, 08:24,42,67.6
43, 08:26,43,63.0
44, 08:28,44,63.0
45, 08:30,45,44.0
46, 08:32,46,44.0
47, 08:34,47,44.0
48, 08:36,48,44.0
49, 08:38,49,82.15
50, 08:40,50,82.3
51, 08:42,51,82.45
52, 08:44,52,82.6
53, 08:46,53,82.75
54, 08:48,54,38.9
55, 08:50,55,38.05
56, 08:52,56,37.2
57, 08:54,57,36.35
58, 08:56,58,52.5
59, 08:58,59,51.65
