year,avetem,ppb,tot,burnt_area,tree_loss,SO2,ppm
1700,NaN,NaN,8.3,NaN,NaN,NaN,NaN
1701,NaN,NaN,18.3,NaN,NaN,NaN,NaN
1702,NaN,NaN,26.7,NaN,NaN,NaN,NaN
1703,NaN,NaN,38.3,NaN,NaN,NaN,NaN
1704,NaN,NaN,60.0,NaN,NaN,NaN,NaN
1705,NaN,NaN,96.7,NaN,NaN,NaN,NaN
1706,NaN,NaN,48.3,NaN,NaN,NaN,NaN
1707,NaN,NaN,33.3,NaN,NaN,NaN,NaN
1708,NaN,NaN,16.7,NaN,NaN,NaN,NaN
1709,NaN,NaN,13.3,NaN,NaN,NaN,NaN
1710,NaN,NaN,5.0,NaN,NaN,NaN,NaN
1711,NaN,NaN,0.0,NaN,NaN,NaN,NaN
1712,NaN,NaN,0.0,NaN,NaN,NaN,NaN
1713,NaN,NaN,3.3,NaN,NaN,NaN,NaN
1714,NaN,NaN,18.3,NaN,NaN,NaN,NaN
1715,NaN,NaN,45.0,NaN,NaN,NaN,NaN
1716,NaN,NaN,78.3,NaN,NaN,NaN,NaN
1717,NaN,NaN,105.0,NaN,NaN,NaN,NaN
1718,NaN,NaN,100.0,NaN,NaN,NaN,NaN
1719,NaN,NaN,65.0,NaN,NaN,NaN,NaN
1720,NaN,NaN,46.7,NaN,NaN,NaN,NaN
1721,NaN,NaN,43.3,NaN,NaN,NaN,NaN
1722,NaN,NaN,36.7,NaN,NaN,NaN,NaN
1723,NaN,NaN,18.3,NaN,NaN,NaN,NaN
1724,NaN,NaN,35.0,NaN,NaN,NaN,NaN
1725,NaN,NaN,66.7,NaN,NaN,NaN,NaN
1726,NaN,NaN,130.0,NaN,NaN,NaN,NaN
1727,NaN,NaN,203.3,NaN,NaN,NaN,NaN
1728,NaN,NaN,171.7,NaN,NaN,NaN,NaN
1729,NaN,NaN,121.7,NaN,NaN,NaN,NaN
1730,NaN,NaN,78.3,NaN,NaN,NaN,NaN
1731,NaN,NaN,58.3,NaN,NaN,NaN,NaN
1732,NaN,NaN,18.3,NaN,NaN,NaN,NaN
1733,NaN,NaN,8.3,NaN,NaN,NaN,NaN
1734,NaN,NaN,26.7,NaN,NaN,NaN,NaN
1735,NaN,NaN,56.7,NaN,NaN,NaN,NaN
1736,NaN,NaN,116.7,NaN,NaN,NaN,NaN
1737,NaN,NaN,135.0,NaN,NaN,NaN,NaN
1738,NaN,NaN,185.0,NaN,NaN,NaN,NaN
1739,NaN,NaN,168.3,NaN,NaN,NaN,NaN
1740,NaN,NaN,121.7,NaN,NaN,NaN,NaN
1741,NaN,NaN,66.7,NaN,NaN,NaN,NaN
1742,NaN,NaN,33.3,NaN,NaN,NaN,NaN
1743,NaN,NaN,26.7,NaN,NaN,NaN,NaN
1744,NaN,NaN,8.3,NaN,NaN,NaN,NaN
1745,NaN,NaN,18.3,NaN,NaN,NaN,NaN
1746,NaN,NaN,36.7,NaN,NaN,NaN,NaN
1747,NaN,NaN,66.7,NaN,NaN,NaN,NaN
1748,NaN,NaN,100.0,NaN,NaN,NaN,NaN
1749,NaN,NaN,134.8,NaN,NaN,NaN,NaN
1750,NaN,NaN,139.0,NaN,NaN,NaN,NaN
1751,NaN,NaN,79.5,NaN,NaN,NaN,NaN
1752,NaN,NaN,79.7,NaN,NaN,NaN,NaN
1753,NaN,NaN,51.2,NaN,NaN,NaN,NaN
1754,NaN,NaN,20.3,NaN,NaN,NaN,NaN
1755,NaN,NaN,16.0,NaN,NaN,NaN,NaN
1756,NaN,NaN,17.0,NaN,NaN,NaN,NaN
1757,NaN,NaN,54.0,NaN,NaN,NaN,NaN
1758,NaN,NaN,79.3,NaN,NaN,NaN,NaN
1759,NaN,NaN,90.0,NaN,NaN,NaN,NaN
1760,NaN,NaN,104.8,NaN,NaN,NaN,NaN
1761,NaN,NaN,143.2,NaN,NaN,NaN,NaN
1762,NaN,NaN,102.0,NaN,NaN,NaN,NaN
1763,NaN,NaN,75.2,NaN,NaN,NaN,NaN
1764,NaN,NaN,60.7,NaN,NaN,NaN,NaN
1765,NaN,NaN,34.8,NaN,NaN,NaN,NaN
1766,NaN,NaN,19.0,NaN,NaN,NaN,NaN
1767,NaN,NaN,63.0,NaN,NaN,NaN,NaN
1768,NaN,NaN,116.3,NaN,NaN,NaN,NaN
1769,NaN,NaN,176.8,NaN,NaN,NaN,NaN
1770,NaN,NaN,168.0,NaN,NaN,NaN,NaN
1771,NaN,NaN,136.0,NaN,NaN,NaN,NaN
1772,NaN,NaN,110.8,NaN,NaN,NaN,NaN
1773,NaN,NaN,58.0,NaN,NaN,NaN,NaN
1774,NaN,NaN,51.0,NaN,NaN,NaN,NaN
1775,NaN,NaN,11.7,NaN,NaN,NaN,NaN
1776,NaN,NaN,33.0,NaN,NaN,NaN,NaN
1777,NaN,NaN,154.2,NaN,NaN,NaN,NaN
1778,NaN,NaN,257.3,NaN,NaN,NaN,NaN
1779,NaN,NaN,209.8,NaN,NaN,NaN,NaN
1780,NaN,NaN,141.3,NaN,NaN,NaN,NaN
1781,NaN,NaN,113.5,NaN,NaN,NaN,NaN
1782,NaN,NaN,64.2,NaN,NaN,NaN,NaN
1783,NaN,NaN,38.0,NaN,NaN,NaN,NaN
1784,NaN,NaN,17.0,NaN,NaN,NaN,NaN
1785,NaN,NaN,40.2,NaN,NaN,NaN,NaN
1786,NaN,NaN,138.2,NaN,NaN,NaN,NaN
1787,NaN,NaN,220.0,NaN,NaN,NaN,NaN
1788,NaN,NaN,218.2,NaN,NaN,NaN,NaN
1789,NaN,NaN,196.8,NaN,NaN,NaN,NaN
1790,NaN,NaN,149.8,NaN,NaN,NaN,NaN
1791,NaN,NaN,111.0,NaN,NaN,NaN,NaN
1792,NaN,NaN,100.0,NaN,NaN,NaN,NaN
1793,NaN,NaN,78.2,NaN,NaN,NaN,NaN
1794,NaN,NaN,68.3,NaN,NaN,NaN,NaN
1795,NaN,NaN,35.5,NaN,NaN,NaN,NaN
1796,NaN,NaN,26.7,NaN,NaN,NaN,NaN
1797,NaN,NaN,10.7,NaN,NaN,NaN,NaN
1798,NaN,NaN,6.8,NaN,NaN,NaN,NaN
1799,NaN,NaN,11.3,NaN,NaN,NaN,NaN
1800,NaN,NaN,24.2,NaN,NaN,NaN,NaN
1801,NaN,NaN,56.7,NaN,NaN,NaN,NaN
1802,NaN,NaN,75.0,NaN,NaN,NaN,NaN
1803,NaN,NaN,71.8,NaN,NaN,NaN,NaN
1804,NaN,NaN,79.2,NaN,NaN,NaN,NaN
1805,NaN,NaN,70.3,NaN,NaN,NaN,NaN
1806,NaN,NaN,46.8,NaN,NaN,NaN,NaN
1807,NaN,NaN,16.8,NaN,NaN,NaN,NaN
1808,NaN,NaN,13.5,NaN,NaN,NaN,NaN
1809,NaN,NaN,4.2,NaN,NaN,NaN,NaN
1810,NaN,NaN,0.0,NaN,NaN,NaN,NaN
1811,NaN,NaN,2.3,NaN,NaN,NaN,NaN
1812,NaN,NaN,8.3,NaN,NaN,NaN,NaN
1813,NaN,NaN,20.3,NaN,NaN,NaN,NaN
1814,NaN,NaN,23.2,NaN,NaN,NaN,NaN
1815,NaN,NaN,59.0,NaN,NaN,NaN,NaN
1816,NaN,NaN,76.3,NaN,NaN,NaN,NaN
1817,NaN,NaN,68.3,NaN,NaN,NaN,NaN
1818,NaN,NaN,52.9,NaN,NaN,NaN,NaN
1819,NaN,NaN,38.5,NaN,NaN,NaN,NaN
1820,NaN,NaN,24.2,NaN,NaN,NaN,NaN
1821,NaN,NaN,9.2,NaN,NaN,NaN,NaN
1822,NaN,NaN,6.3,NaN,NaN,NaN,NaN
1823,NaN,NaN,2.2,NaN,NaN,NaN,NaN
1824,NaN,NaN,11.4,NaN,NaN,NaN,NaN
1825,NaN,NaN,28.2,NaN,NaN,NaN,NaN
1826,NaN,NaN,59.9,NaN,NaN,NaN,NaN
1827,NaN,NaN,83.0,NaN,NaN,NaN,NaN
1828,NaN,NaN,108.5,NaN,NaN,NaN,NaN
1829,NaN,NaN,115.2,NaN,NaN,NaN,NaN
1830,NaN,NaN,117.4,NaN,NaN,NaN,NaN
1831,NaN,NaN,80.8,NaN,NaN,NaN,NaN
1832,NaN,NaN,44.3,NaN,NaN,NaN,NaN
1833,NaN,NaN,13.4,NaN,NaN,NaN,NaN
1834,NaN,NaN,19.5,NaN,NaN,NaN,NaN
1835,NaN,NaN,85.8,NaN,NaN,NaN,NaN
1836,NaN,NaN,192.7,NaN,NaN,NaN,NaN
1837,NaN,NaN,227.3,NaN,NaN,NaN,NaN
1838,NaN,NaN,168.7,NaN,NaN,NaN,NaN
1839,NaN,NaN,143.0,NaN,NaN,NaN,NaN
1840,NaN,NaN,105.5,NaN,NaN,NaN,NaN
1841,NaN,NaN,63.3,NaN,NaN,NaN,NaN
1842,NaN,NaN,40.3,NaN,NaN,NaN,NaN
1843,NaN,NaN,18.1,NaN,NaN,NaN,NaN
1844,NaN,NaN,25.1,NaN,NaN,NaN,NaN
1845,NaN,NaN,65.8,NaN,NaN,NaN,NaN
1846,NaN,NaN,102.7,NaN,NaN,NaN,NaN
1847,NaN,NaN,166.3,NaN,NaN,NaN,NaN
1848,NaN,NaN,208.3,NaN,NaN,NaN,NaN
1849,NaN,NaN,182.5,NaN,NaN,NaN,NaN
1850,NaN,NaN,126.3,NaN,NaN,NaN,NaN
1851,NaN,NaN,122.0,NaN,NaN,NaN,NaN
1852,NaN,NaN,102.7,NaN,NaN,NaN,NaN
1853,NaN,NaN,74.1,NaN,NaN,NaN,NaN
1854,NaN,NaN,39.0,NaN,NaN,NaN,NaN
1855,NaN,NaN,12.7,NaN,NaN,NaN,NaN
1856,NaN,NaN,8.2,NaN,NaN,NaN,NaN
1857,NaN,NaN,43.4,NaN,NaN,NaN,NaN
1858,NaN,NaN,104.4,NaN,NaN,NaN,NaN
1859,NaN,NaN,178.3,NaN,NaN,NaN,NaN
1860,NaN,NaN,182.2,NaN,NaN,NaN,NaN
1861,NaN,NaN,146.6,NaN,NaN,NaN,NaN
1862,NaN,NaN,112.1,NaN,NaN,NaN,NaN
1863,NaN,NaN,83.5,NaN,NaN,NaN,NaN
1864,NaN,NaN,89.2,NaN,NaN,NaN,NaN
1865,NaN,NaN,57.8,NaN,NaN,NaN,NaN
