销售日期,分类编码,销量(千克)
2020-07-01,1011010101,205.402
2020-07-01,1011010201,46.64
2020-07-01,1011010402,4.85
2020-07-01,1011010501,35.374
2020-07-01,1011010504,76.715
2020-07-01,1011010801,35.365
2020-07-02,1011010101,198.362
2020-07-02,1011010201,43.943
2020-07-02,1011010402,4.6
2020-07-02,1011010501,32.199
2020-07-02,1011010504,66.064
2020-07-02,1011010801,48.51
2020-07-03,1011010101,190.779
2020-07-03,1011010201,42.076
2020-07-03,1011010402,9.572000000000001
2020-07-03,1011010501,35.896
2020-07-03,1011010504,64.253
2020-07-03,1011010801,42.442
2020-07-04,1011010101,236.587
2020-07-04,1011010201,55.662
2020-07-04,1011010402,5.439
2020-07-04,1011010501,57.067
2020-07-04,1011010504,81.282
2020-07-04,1011010801,47.262
2020-07-05,1011010101,223.899
2020-07-05,1011010201,55.474
2020-07-05,1011010402,4.019
2020-07-05,1011010501,61.816
2020-07-05,1011010504,98.496
2020-07-05,1011010801,73.213
2020-07-06,1011010101,195.74
2020-07-06,1011010201,42.721000000000004
2020-07-06,1011010402,3.089
2020-07-06,1011010501,30.727
2020-07-06,1011010504,58.682
2020-07-06,1011010801,40.578
2020-07-07,1011010101,172.052
2020-07-07,1011010201,45.749
2020-07-07,1011010402,3.117
2020-07-07,1011010501,32.112
2020-07-07,1011010504,42.213
2020-07-07,1011010801,52.56
2020-07-08,1011010101,152.57
2020-07-08,1011010201,45.433
2020-07-08,1011010402,10.605
2020-07-08,1011010501,39.67
2020-07-08,1011010504,65.88
2020-07-08,1011010801,43.968
2020-07-09,1011010101,187.439
2020-07-09,1011010201,41.131
2020-07-09,1011010402,2.106
2020-07-09,1011010501,25.921
2020-07-09,1011010504,58.86
2020-07-09,1011010801,37.837
2020-07-10,1011010101,179.833
2020-07-10,1011010201,62.344
2020-07-10,1011010402,9.025
2020-07-10,1011010501,37.86
2020-07-10,1011010504,58.936
2020-07-10,1011010801,41.429
2020-07-11,1011010101,270.343
2020-07-11,1011010201,76.564
2020-07-11,1011010402,8.928
2020-07-11,1011010501,68.277
2020-07-11,1011010504,85.936
2020-07-11,1011010801,52.238
2020-07-12,1011010101,300.189
2020-07-12,1011010201,71.615
2020-07-12,1011010402,13.994
2020-07-12,1011010501,81.706
2020-07-12,1011010504,72.168
2020-07-12,1011010801,55.96
2020-07-13,1011010101,190.832
2020-07-13,1011010201,32.028
2020-07-13,1011010402,11.605
2020-07-13,1011010501,44.379
2020-07-13,1011010504,61.24
2020-07-13,1011010801,42.113
2020-07-14,1011010101,190.599
2020-07-14,1011010201,57.575
2020-07-14,1011010402,9.007
2020-07-14,1011010501,34.747
2020-07-14,1011010504,66.745
2020-07-14,1011010801,44.836
2020-07-15,1011010101,217.442
2020-07-15,1011010201,37.962
2020-07-15,1011010402,10.238
2020-07-15,1011010501,38.17
2020-07-15,1011010504,73.354
2020-07-15,1011010801,42.196
2020-07-16,1011010101,212.526
2020-07-16,1011010201,39.45
2020-07-16,1011010402,11.354
2020-07-16,1011010501,26.586
2020-07-16,1011010504,72.656
2020-07-16,1011010801,53.259
